City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
488,Boksitogorsk,RU,59.474,33.8485,26.37,98,60,1.25,broken clouds,2022-04-14 03:00:32
489,Raudeberg,NO,61.9875,5.1352,38.86,85,7,9.66,clear sky,2022-04-14 03:00:33
490,Qandala,SO,11.472,49.8728,84.38,37,0,9.84,clear sky,2022-04-14 03:00:33
491,Penzance,GB,50.1186,-5.5371,51.31,90,86,5.46,overcast clouds,2022-04-14 03:00:34
492,Mogwase,ZA,-25.185,27.2665,58.77,61,75,2.57,broken clouds,2022-04-14 03:00:34
493,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.18,97,90,4.65,overcast clouds,2022-04-14 03:00:35
494,Bintulu,MY,3.1667,113.0333,85.66,68,23,2.01,few clouds,2022-04-14 03:00:35
495,Tual,ID,-5.6667,132.75,83.89,71,19,2.95,few clouds,2022-04-14 03:00:36
496,Kushalnagar,IN,12.458,75.959,72.18,76,100,2.08,overcast clouds,2022-04-14 03:00:36
497,Souillac,MU,-20.5167,57.5167,77.5,85,86,18.16,overcast clouds,2022-04-14 03:00:36
498,Mitsamiouli,KM,-11.3847,43.2844,81.57,75,82,10.02,broken clouds,2022-04-14 03:00:37
499,Kismayo,SO,-0.3582,42.5454,81.45,80,31,8.61,scattered clouds,2022-04-14 03:00:37
500,Baherden,TM,38.4362,57.4316,69.66,43,88,10.49,overcast clouds,2022-04-14 03:00:38
501,Eureka,US,40.8021,-124.1637,47.35,80,100,10.0,overcast clouds,2022-04-14 03:00:27
502,Currais Novos,BR,-6.2608,-36.5178,71.26,92,72,4.65,light rain,2022-04-14 03:00:38
503,Krasnoselkup,RU,65.7,82.4667,33.1,100,100,5.28,overcast clouds,2022-04-14 03:00:39
504,Ahipara,NZ,-35.1667,173.1667,66.58,53,80,11.95,broken clouds,2022-04-14 03:00:39
505,Flin Flon,CA,54.7682,-101.865,21.99,85,100,14.92,overcast clouds,2022-04-14 03:00:40
506,Namie,JP,37.4833,141.0,50.72,91,100,13.29,moderate rain,2022-04-14 03:00:40
507,Moerai,PF,-22.4333,-151.3333,80.98,76,100,17.11,overcast clouds,2022-04-14 03:00:41
508,Cayenne,GF,4.9333,-52.3333,81.09,1,100,9.22,overcast clouds,2022-04-14 03:00:41
509,Pokoynoye,RU,44.8097,44.2517,43.05,70,100,8.32,overcast clouds,2022-04-14 03:00:41
510,Dutlwe,BW,-23.9833,23.9,63.73,45,43,5.14,scattered clouds,2022-04-14 03:00:42
511,Toledo,ES,39.8333,-4.0,52.32,81,69,7.2,broken clouds,2022-04-14 02:59:27
512,Manokwari,ID,-0.8667,134.0833,83.35,71,100,7.4,overcast clouds,2022-04-14 03:00:42
513,La Ronge,CA,55.1001,-105.2842,23.25,58,75,11.5,broken clouds,2022-04-14 02:58:42
514,Makinsk,KZ,52.6292,70.4169,47.25,56,0,8.63,clear sky,2022-04-14 03:00:43
515,Saint Pete Beach,US,27.7253,-82.7412,75.15,70,0,6.91,clear sky,2022-04-14 03:00:44
516,Mount Isa,AU,-20.7333,139.5,92.97,20,6,11.5,clear sky,2022-04-14 03:00:44
517,Ugoofaaru,MV,5.6667,73.0,84.4,72,82,10.71,heavy intensity rain,2022-04-14 03:00:44
518,Labuhan,ID,-6.8844,112.2051,84.72,70,13,3.89,few clouds,2022-04-14 03:00:45
519,Bo Phloi,TH,14.3236,99.5161,94.32,31,62,7.2,broken clouds,2022-04-14 03:00:25
520,Kruisfontein,ZA,-34.0033,24.7314,56.88,85,66,8.97,broken clouds,2022-04-14 03:00:45
521,Maragogi,BR,-9.0122,-35.2225,76.98,81,15,5.19,few clouds,2022-04-14 03:00:46
522,Limbang,MY,4.75,115.0,87.91,55,94,3.38,overcast clouds,2022-04-14 03:00:46
523,Lupiro,TZ,-8.3833,36.6667,69.24,97,100,1.19,overcast clouds,2022-04-14 03:00:47
524,Vilani,LV,56.5525,26.9245,36.23,72,98,4.0,overcast clouds,2022-04-14 03:00:47
525,Kidal,ML,18.4411,1.4078,82.38,6,26,10.11,scattered clouds,2022-04-14 03:00:47
526,Wenzhou,CN,27.9994,120.6668,74.23,54,9,10.6,clear sky,2022-04-14 03:00:48
527,Emirdag,TR,39.0197,31.15,32.94,61,3,2.04,clear sky,2022-04-14 03:00:48
528,Iralaya,HN,15.0,-83.2333,78.71,81,4,11.05,clear sky,2022-04-14 03:00:49
529,Maniitsoq,GL,65.4167,-52.9,18.59,81,9,11.27,clear sky,2022-04-14 03:00:49
530,Gambela,ET,8.25,34.5833,77.86,66,87,4.85,overcast clouds,2022-04-14 03:00:50
531,Anupgarh,IN,29.1911,73.2086,88.84,18,10,3.24,clear sky,2022-04-14 03:00:50
532,Taquaritinga Do Norte,BR,-7.9031,-36.0442,64.74,95,70,2.3,broken clouds,2022-04-14 03:00:51
533,Marsh Harbour,BS,26.5412,-77.0636,74.88,74,100,18.88,overcast clouds,2022-04-14 03:00:04
